DIAMD_NO,STOCK_NO,PARENT_ITEM_NO_ALT,BOUNCE_USE_ITEM,FULL_TITLE,MAIN_DESC,VARIANT_DESC,SERIES_CODE,ISSUE_NO,ISSUE_SEQ_NO,VOLUME_TAG,MAX_ISSUE,PRICE,PUBLISHER,UPC_NO,SHORT_ISBN_NO,EAN_NO,CARDS_PER_PACK,PACK_PER_BOX,BOX_PER_CASE,DISCOUNT_CODE,INCREMENT,PRNT_DATE,FOC_VENDOR,SHIP_DATE,SRP,CATEGORY,GENRE,BRAND_CODE,MATURE,ADULT,OA,CAUT1,CAUT2,CAUT3,RESOL,NOTE_PRICE,ORDER_FORM_NOTES,PAGE,WRITER,ARTIST,COVER_ARTIST,COLORIST,ALLIANCE_SKU,FOC_DATE,OFFERED_DATE,NUMBER_OF_PAGES,UNIT_WEIGHT,UNIT_LENGTH,UNIT_WIDTH,UNIT_HEIGHT,CASE_WEIGHT,CASE_LENGTH,CASE_WIDTH,CASE_HEIGHT
NOV201459,STL058680,AUG171898,,SISTERS HC VOL 04 SELFIE AWARENESS,SISTERS HC,SELFIE AWARENESS,136260,4,0,VOL,,14.99,PAPERCUTZ, ,1629917982,978162991798651499,0,0,10,F,7,12/4/2020,N,12/16/2020,14.99,3,KI,YR,N,N,Y,0,0,0,N,N,,290,"Murray, Will","Cazenove, Christophe","Cazenove, Christophe",, ,,,96,1,9.1,6.6,0.5,10.69,14.3,11.8,10.8
NOV201460,STL119926,OCT192006,,SISTERS GN VOL 05 MYOB,SISTERS GN,MYOB,136259,5,0,VOL,,9.99,PAPERCUTZ, ,1545803412,978154580341750999,0,0,50,F,5,10/8/2020,N,12/9/2020,9.99,3,KI,YR,N,N,Y,0,0,0,N,N,,290,"Cazenove, Christophe","Maury, William",,, ,,,96,0.55,8.8,6.3,0.3,29.09,13.8,9.9,7.7
NOV201461,STL119927,OCT192007,,SISTERS HC GN VOL 05 MYOB,SISTERS HC GN,MYOB,136260,5,0,VOL,,14.99,PAPERCUTZ, ,1545803404,978154580340051499,0,0,50,F,5,12/4/2020,N,12/16/2020,14.99,3,KI,YR,N,N,Y,0,0,0,N,N,,290,"Cazenove, Christophe","Maury, William",,, ,,,96,0.55,9,6.7,0.5,29.61,13.9,9.9,7.7
NOV201462,STL087926,JAN192027,,DANCE CLASS 3IN1 GN VOL 01,DANCE CLASS 3IN1 GN,,140453,1,0,VOL,,14.99,PAPERCUTZ, ,1545805334,978154580533651499,0,0,34,F,5,12/4/2020,N,12/9/2020,14.99,3,DR,XX,N,N,Y,0,0,0,N,N,,290,"Beka,","Crip,",,, ,,,160,0.85,8.9,6.4,0.5,30.54,18,12.7,11.1
NOV201463,STL170318,,,MAKING OF GEORGE ROMEROS DAY OF DEAD SC (C: 0-1-0),MAKING OF GEORGE ROMEROS DAY OF DEAD SC,,0,,0,,,24.95,PLEXUS PUBLISHING, ,0859655695,978085965569952495,0,0,20,F,10,12/4/2020,N,1/27/2021,24.95,4,RF,MV,N,N,N,0,1,0,N,N,,290,"Karr, Lee",,,, ,12/4/2020,,224,0,0,0,0,0,0,0,0
NOV201464,STL172201,,,ACG COLL WORKS FORBIDDEN WORLDS SOFTEE VOL 14 (C: 0-1-1),ACG COLL WORKS FORBIDDEN WORLDS SOFTEE,,144077,14,0,VOL,,24.99,PS ARTBOOKS, ,1786366592,978178636659752499,0,0,0,H,8,12/4/2020,N,3/3/2021,24.99,3,HO,XX,N,N,N,0,1,1,N,N,(NOTE:early solicitation. Previous volumes were offered in hardcover only),291,Various,"Whitney, Ogden",Na,, ,12/4/2020,,216,0,0,0,0,0,0,0,0
NOV201465,STL172204,,,GOLDEN AGE CLASSICS FIGHT COMICS HC VOL 01 (C: 0-1-1),GOLDEN AGE CLASSICS FIGHT COMICS HC,,144437,1,0,VOL,,46.99,PS ARTBOOKS, ,178636655X,978178636655954699,0,0,80,H,1,12/4/2020,N,4/27/2021,46.99,3,AA,XX,N,N,N,0,1,1,N,N,(NOTE: Early solicitation April 2021.),291,,"Eisner, Will",,, ,12/4/2020,,184,0,0,0,0,0,0,0,0
NOV201466,STL172205,,,GOLDEN AGE CLASSICS FIGHT COMICS SLIPCASE VOL 01 (C: 0-1-1),GOLDEN AGE CLASSICS FIGHT COMICS SLIPCASE,,144438,1,0,VOL,,56.99,PS ARTBOOKS, ,1786366568,978178636656655699,0,0,80,H,1,12/4/2020,N,4/28/2021,56.99,3,AA,XX,N,N,N,0,1,1,N,N,(NOTE: Early solicitation April 2021.),291,,"Eisner, Will",,, ,12/4/2020,,184,0,0,0,0,0,0,0,0
NOV201467,STL172199,,,PS ARTBOOKS CLASSICS SCI FI COMICS SOFTEE (C: 0-1-1),PS ARTBOOKS CLASSICS SCI FI COMICS SOFTEE,,0,,0,,,24.99,PS ARTBOOKS, ,1786366584,978178636658052499,0,0,0,H,1,12/4/2020,N,2/24/2021,24.99,3,SF,XX,N,N,N,0,1,1,N,N,,291,,"Fawcette, Gene",,, ,12/4/2020,,184,0,0,0,0,0,0,0,0
NOV201468,STL172200,,,SILVER AGE CLASSICS GHOST STORIES SOFTEE VOL 01 (C: 0-1-1),SILVER AGE CLASSICS GHOST STORIES SOFTEE,,144436,1,0,VOL,,24.99,PS ARTBOOKS, ,1786366576,978178636657352499,0,0,0,H,1,12/4/2020,N,2/24/2021,24.99,3,HO,XX,N,N,N,0,1,1,N,N,,291,"Stanley, John","McCann, Gerald",,, ,12/4/2020,,184,0,0,0,0,0,0,0,0
